Entity,Code,Year,Renewables per capita (kWh)
Azerbaijan,AZE,2000,0.524574
Azerbaijan,AZE,2001,0.438017
Azerbaijan,AZE,2002,0.669169
Azerbaijan,AZE,2003,0.804829
Azerbaijan,AZE,2004,0.882685
Azerbaijan,AZE,2005,0.947993
Azerbaijan,AZE,2006,0.779897
Azerbaijan,AZE,2007,0.719782
Azerbaijan,AZE,2008,0.667868
Azerbaijan,AZE,2009,0.679236
Azerbaijan,AZE,2010,0.995025
Azerbaijan,AZE,2011,0.758172
Azerbaijan,AZE,2012,0.506256
Azerbaijan,AZE,2013,0.424943
Azerbaijan,AZE,2014,0.372634
Azerbaijan,AZE,2015,0.456793
Azerbaijan,AZE,2016,0.543628
Azerbaijan,AZE,2017,0.480155
Azerbaijan,AZE,2018,0.492208
Azerbaijan,AZE,2019,0.44954
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0.007296
Bangladesh,BGD,1973,0.013594
Bangladesh,BGD,1974,0.009819
Bangladesh,BGD,1975,0.017285
Bangladesh,BGD,1976,0.019151
Bangladesh,BGD,1977,0.016524
Bangladesh,BGD,1978,0.018629
Bangladesh,BGD,1979,0.021032
Bangladesh,BGD,1980,0.020335
Bangladesh,BGD,1981,0.021232
Bangladesh,BGD,1982,0.017309
Bangladesh,BGD,1983,0.021347
Bangladesh,BGD,1984,0.028181
Bangladesh,BGD,1985,0.022617
Bangladesh,BGD,1986,0.013414
Bangladesh,BGD,1987,0.015011
Bangladesh,BGD,1988,0.019096
Bangladesh,BGD,1989,0.025379
Bangladesh,BGD,1990,0.023801
Bangladesh,BGD,1991,0.022044
Bangladesh,BGD,1992,0.020476
Bangladesh,BGD,1993,0.015305
Bangladesh,BGD,1994,0.020869
Bangladesh,BGD,1995,0.008972
Bangladesh,BGD,1996,0.017448
Bangladesh,BGD,1997,0.016621
Bangladesh,BGD,1998,0.019585
Bangladesh,BGD,1999,420
Bangladesh,BGD,2000,440
Bangladesh,BGD,2001,440
Bangladesh,BGD,2002,440
Bangladesh,BGD,2003,460
Bangladesh,BGD,2004,510
Bangladesh,BGD,2005,550
Bangladesh,BGD,2006,570
Bangladesh,BGD,2007,610
Bangladesh,BGD,2008,660
Bangladesh,BGD,2009,730
Bangladesh,BGD,2010,800
Bangladesh,BGD,2011,890
Bangladesh,BGD,2012,970
Bangladesh,BGD,2013,1040
Bangladesh,BGD,2014,1110
Bangladesh,BGD,2015,1220
Bangladesh,BGD,2016,1370
Bangladesh,BGD,2017,1520
Bangladesh,BGD,2018,1750
Bangladesh,BGD,2019,1930
Belarus,BLR,1985,0.005611
Belarus,BLR,1986,0.005575
Belarus,BLR,1987,0.005541
Belarus,BLR,1988,0.005511
Belarus,BLR,1989,0.005488
Belarus,BLR,1990,0.005473
Belarus,BLR,1991,0.004921
Belarus,BLR,1992,0.004651
Belarus,BLR,1993,0.005207
Belarus,BLR,1994,0.005221
Belarus,BLR,1995,0.005513
Belarus,BLR,1996,0.004425
Belarus,BLR,1997,0.005828
Belarus,BLR,1998,0.007801
Belarus,BLR,1999,0.005318
Belarus,BLR,2000,0.007597
Belarus,BLR,2001,0.008439
Belarus,BLR,2002,0.008159
Belarus,BLR,2003,0.007881
Belarus,BLR,2004,0.009573
Belarus,BLR,2005,0.010408
Belarus,BLR,2006,0.010673
Belarus,BLR,2007,0.014008
Belarus,BLR,2008,0.020385
Belarus,BLR,2009,0.02948
Belarus,BLR,2010,0.035979
Belarus,BLR,2011,0.03881
Belarus,BLR,2012,0.047319
Belarus,BLR,2013,0.06205
Belarus,BLR,2014,0.056931
Belarus,BLR,2015,0.067807
Belarus,BLR,2016,0.089187
Belarus,BLR,2017,0.184392
Belarus,BLR,2018,0.170898
Belarus,BLR,2019,0.173958
Belgium,BEL,1965,0.080004
Belgium,BEL,1966,0.087528
Belgium,BEL,1967,0.069379
Belgium,BEL,1968,0.070853
Belgium,BEL,1969,0.066551
Belgium,BEL,1970,0.070944
Belgium,BEL,1971,0.03852
Belgium,BEL,1972,0.051584
Belgium,BEL,1973,0.08201
Belgium,BEL,1974,0.099176
Belgium,BEL,1975,0.075613
Belgium,BEL,1976,0.047076
Belgium,BEL,1977,0.133272
Belgium,BEL,1978,0.13639
Belgium,BEL,1979,0.15476
Belgium,BEL,1980,0.162687
Belgium,BEL,1981,0.188915
Belgium,BEL,1982,0.106449
Belgium,BEL,1983,0.100469
Belgium,BEL,1984,0.105155
Belgium,BEL,1985,0.095235
Belgium,BEL,1986,0.129251
Belgium,BEL,1987,0.161213
Belgium,BEL,1988,0.15257
Belgium,BEL,1989,0.140002
Belgium,BEL,1990,0.154059
Belgium,BEL,1991,0.148311
Belgium,BEL,1992,0.170063
Belgium,BEL,1993,0.139177
Belgium,BEL,1994,0.164107
Belgium,BEL,1995,0.182167
Belgium,BEL,1996,0.152658
Belgium,BEL,1997,0.159755
Belgium,BEL,1998,0.205952
Belgium,BEL,1999,0.23024
Belgium,BEL,2000,0.282047
Belgium,BEL,2001,0.287501
Belgium,BEL,2002,0.301044
Belgium,BEL,2003,0.311684
Belgium,BEL,2004,0.386679
Belgium,BEL,2005,0.537108
Belgium,BEL,2006,0.743062
Belgium,BEL,2007,0.865554
Belgium,BEL,2008,1.081959
Belgium,BEL,2009,1.455479
Belgium,BEL,2010,1.929311
Belgium,BEL,2011,2.345488
Belgium,BEL,2012,2.79762
Belgium,BEL,2013,3.040626
Belgium,BEL,2014,3.212805
Belgium,BEL,2015,3.520278
Belgium,BEL,2016,3.626346
Belgium,BEL,2017,3.956438
Belgium,BEL,2018,4.188777
Belgium,BEL,2019,4.530155
Brazil,BRA,1965,0.850086
Brazil,BRA,1966,0.904544
Brazil,BRA,1967,0.920994
Brazil,BRA,1968,0.938865
Brazil,BRA,1969,0.979128
Brazil,BRA,1970,1.177422
Brazil,BRA,1971,1.249005
Brazil,BRA,1972,1.429727
Brazil,BRA,1973,1.592928
Brazil,BRA,1974,1.763249
Brazil,BRA,1975,1.895297
Brazil,BRA,1976,2.119618
Brazil,BRA,1977,2.337285
Brazil,BRA,1978,2.51132
Brazil,BRA,1979,2.789044
Brazil,BRA,1980,3.008357
Brazil,BRA,1981,2.981637
Brazil,BRA,1982,3.146967
Brazil,BRA,1983,3.314467
Brazil,BRA,1984,3.555415
Brazil,BRA,1985,3.725818
Brazil,BRA,1986,3.733225
Brazil,BRA,1987,3.729528
Brazil,BRA,1988,3.91507
Brazil,BRA,1989,3.950283
Brazil,BRA,1990,4.382485
Brazil,BRA,1991,4.530558
Brazil,BRA,1992,4.560862
Brazil,BRA,1993,4.713072
Brazil,BRA,1994,4.807108
Brazil,BRA,1995,4.942128
Brazil,BRA,1996,5.103937
Brazil,BRA,1997,5.237717
Brazil,BRA,1998,5.356075
Brazil,BRA,1999,4120
Brazil,BRA,2000,3930
Brazil,BRA,2001,3350
Brazil,BRA,2002,3100
Brazil,BRA,2003,2990
Brazil,BRA,2004,3350
Brazil,BRA,2005,4000
Brazil,BRA,2006,4850
Brazil,BRA,2007,6190
Brazil,BRA,2008,7620
Brazil,BRA,2009,8320
Brazil,BRA,2010,9650
Brazil,BRA,2011,11080
Brazil,BRA,2012,12310
Brazil,BRA,2013,12790
Brazil,BRA,2014,12120
Brazil,BRA,2015,10190
Brazil,BRA,2016,8920
Brazil,BRA,2017,8700
Brazil,BRA,2018,9170
Brazil,BRA,2019,9270
Bulgaria,BGR,1965,0.675612
Bulgaria,BGR,1966,0.673991
Bulgaria,BGR,1967,0.67322
Bulgaria,BGR,1968,0.431548
Bulgaria,BGR,1969,0.604179
Bulgaria,BGR,1970,0.702607
Bulgaria,BGR,1971,0.704262
Bulgaria,BGR,1972,0.675973
Bulgaria,BGR,1973,0.824734
Bulgaria,BGR,1974,0.664189
Bulgaria,BGR,1975,0.7798
Bulgaria,BGR,1976,0.93532
Bulgaria,BGR,1977,1.1137
Bulgaria,BGR,1978,0.915333
Bulgaria,BGR,1979,1.038883
Bulgaria,BGR,1980,1.161606
Bulgaria,BGR,1981,1.12858
Bulgaria,BGR,1982,0.948632
Bulgaria,BGR,1983,1.04031
Bulgaria,BGR,1984,1.009651
Bulgaria,BGR,1985,0.692356
Bulgaria,BGR,1986,0.720062
Bulgaria,BGR,1987,0.786433
Bulgaria,BGR,1988,0.806883
Bulgaria,BGR,1989,0.840077
Bulgaria,BGR,1990,0.590054
Bulgaria,BGR,1991,0.773419
Bulgaria,BGR,1992,0.660507
Bulgaria,BGR,1993,0.629017
Bulgaria,BGR,1994,0.481154
Bulgaria,BGR,1995,0.76713
Bulgaria,BGR,1996,0.977851
Bulgaria,BGR,1997,0.931564
Bulgaria,BGR,1998,1.057113
Bulgaria,BGR,1999,0.947964
Bulgaria,BGR,2000,0.928358
Bulgaria,BGR,2001,0.604422
Bulgaria,BGR,2002,0.764787
Bulgaria,BGR,2003,1.057418
Bulgaria,BGR,2004,1.107619
Bulgaria,BGR,2005,1.519376
Bulgaria,BGR,2006,1.491476
Bulgaria,BGR,2007,1.024009
Bulgaria,BGR,2008,1.039201
Bulgaria,BGR,2009,1.30506
Bulgaria,BGR,2010,2.032515
Bulgaria,BGR,2011,1.381951
Bulgaria,BGR,2012,1.870885
Bulgaria,BGR,2013,2.432657
Bulgaria,BGR,2014,2.595063
Bulgaria,BGR,2015,3.080053
Bulgaria,BGR,2016,2.498836
Bulgaria,BGR,2017,2.158236
Bulgaria,BGR,2018,3.27759
Bulgaria,BGR,2019,2.728666
Canada,CAN,1965,16.711967
Canada,CAN,1966,18.216319
Canada,CAN,1967,18.303144
Canada,CAN,1968,18.299088
Canada,CAN,1969,19.901984
Canada,CAN,1970,20.551595
Canada,CAN,1971,20.774337
Canada,CAN,1972,22.859423
Canada,CAN,1973,24.122507
Canada,CAN,1974,25.72701
Canada,CAN,1975,24.390352
Canada,CAN,1976,25.380738
Canada,CAN,1977,26.000228
Canada,CAN,1978,27.471689
Canada,CAN,1979,28.221123
Canada,CAN,1980,28.71954
Canada,CAN,1981,30.168776
Canada,CAN,1982,28.977785
Canada,CAN,1983,29.579588
Canada,CAN,1984,31.490604
Canada,CAN,1985,32.943101
Canada,CAN,1986,33.289578
Canada,CAN,1987,33.472391
Canada,CAN,1988,32.115659
Canada,CAN,1989,30.040348
Canada,CAN,1990,30.221557
Canada,CAN,1991,31.002084
Canada,CAN,1992,31.464648
Canada,CAN,1993,31.82673
Canada,CAN,1994,32.112722
Canada,CAN,1995,32.503992
Canada,CAN,1996,34.153029
Canada,CAN,1997,33.334554
Canada,CAN,1998,31.451894
Canada,CAN,1999,21210
Canada,CAN,2000,22620
Canada,CAN,2001,23030
Canada,CAN,2002,23610
Canada,CAN,2003,25860
Canada,CAN,2004,29900
Canada,CAN,2005,34810
Canada,CAN,2006,38510
Canada,CAN,2007,43090
Canada,CAN,2008,45650
Canada,CAN,2009,43230
Canada,CAN,2010,44490
Canada,CAN,2011,47190
Canada,CAN,2012,51080
Canada,CAN,2013,52800
Canada,CAN,2014,52200
Canada,CAN,2015,47590
Canada,CAN,2016,43890
Canada,CAN,2017,42900
Canada,CAN,2018,45080
Canada,CAN,2019,46550
Chile,CHL,1965,1.221729
Chile,CHL,1966,1.264917
Chile,CHL,1967,1.269271
Chile,CHL,1968,1.045811
Chile,CHL,1969,1.161328
Chile,CHL,1970,1.222927
Chile,CHL,1971,1.361931
Chile,CHL,1972,1.590955
Chile,CHL,1973,1.527698
Chile,CHL,1974,1.707313
Chile,CHL,1975,1.688645
Chile,CHL,1976,1.72291
Chile,CHL,1977,1.7926
Chile,CHL,1978,1.839161
Chile,CHL,1979,1.861396
Chile,CHL,1980,1.940238
Chile,CHL,1981,1.981045
Chile,CHL,1982,2.140811
Chile,CHL,1983,2.290945
Chile,CHL,1984,2.340345
Chile,CHL,1985,2.552965
Chile,CHL,1986,2.702789
Chile,CHL,1987,2.876869
Chile,CHL,1988,2.78578
Chile,CHL,1989,2.310882
Chile,CHL,1990,2.072491
Chile,CHL,1991,2.916443
Chile,CHL,1992,3.742137
Chile,CHL,1993,3.778203
Chile,CHL,1994,3.680857
Chile,CHL,1995,3.919669
Chile,CHL,1996,3.544153
Chile,CHL,1997,3.886215
Chile,CHL,1998,3.170997
Chile,CHL,1999,2.752866
Chile,CHL,2000,3.703707
Chile,CHL,2001,4.156689
Chile,CHL,2002,4.366226
Chile,CHL,2003,4.17764
Chile,CHL,2004,3.888582
Chile,CHL,2005,4.549751
Chile,CHL,2006,4.846308
Chile,CHL,2007,4.024079
Chile,CHL,2008,4.406829
Chile,CHL,2009,4.45115
Chile,CHL,2010,3.89619
Chile,CHL,2011,3.783598
Chile,CHL,2012,3.930835
Chile,CHL,2013,3.985635
Chile,CHL,2014,4.290021
Chile,CHL,2015,4.598371
Chile,CHL,2016,4.338646
Chile,CHL,2017,4.91291
Chile,CHL,2018,5.471402
Chile,CHL,2019,5.545801
China,CHN,1965,0.084754
China,CHN,1966,0.084132
China,CHN,1967,0.070606
China,CHN,1968,0.081024
China,CHN,1969,0.080162
China,CHN,1970,0.080679
China,CHN,1971,0.095156
China,CHN,1972,0.10527
China,CHN,1973,0.115007
China,CHN,1974,0.127428
China,CHN,1975,0.130788
China,CHN,1976,0.130225
China,CHN,1977,0.133784
China,CHN,1978,0.123506
China,CHN,1979,0.136775
China,CHN,1980,0.161711
China,CHN,1981,0.179465
China,CHN,1982,0.201085
China,CHN,1983,0.230276
China,CHN,1984,0.227895
China,CHN,1985,0.238597
China,CHN,1986,0.239847
China,CHN,1987,0.248944
China,CHN,1988,0.266536
China,CHN,1989,0.283949
China,CHN,1990,0.299312
China,CHN,1991,0.290526
China,CHN,1992,0.301401
China,CHN,1993,0.346829
China,CHN,1994,0.380025
China,CHN,1995,0.434752
China,CHN,1996,0.420796
China,CHN,1997,0.437823
China,CHN,1998,0.440563
China,CHN,1999,860
China,CHN,2000,940
China,CHN,2001,1010
China,CHN,2002,1110
China,CHN,2003,1280
China,CHN,2004,1510
China,CHN,2005,1760
China,CHN,2006,2060
China,CHN,2007,2510
China,CHN,2008,3100
China,CHN,2009,3680
China,CHN,2010,4340
China,CHN,2011,5040
China,CHN,2012,5910
China,CHN,2013,6740
China,CHN,2014,7470
China,CHN,2015,7890
China,CHN,2016,8210
China,CHN,2017,8670
China,CHN,2018,9540
China,CHN,2019,10310
Colombia,COL,1965,0.525731
Colombia,COL,1966,0.567258
Colombia,COL,1967,0.614597
Colombia,COL,1968,0.666184
Colombia,COL,1969,0.721301
Colombia,COL,1970,0.782737
Colombia,COL,1971,0.81089
Colombia,COL,1972,0.877774
Colombia,COL,1973,0.934172
Colombia,COL,1974,1.037575
Colombia,COL,1975,1.14515
Colombia,COL,1976,1.177172
Colombia,COL,1977,1.174892
Colombia,COL,1978,1.325252
Colombia,COL,1979,1.422545
Colombia,COL,1980,1.51523
Colombia,COL,1981,1.462518
Colombia,COL,1982,1.529107
Colombia,COL,1983,1.509116
Colombia,COL,1984,1.647407
Colombia,COL,1985,1.735036
Colombia,COL,1986,1.962486
Colombia,COL,1987,2.093959
Colombia,COL,1988,2.164177
Colombia,COL,1989,2.315554
Colombia,COL,1990,2.330258
Colombia,COL,1991,2.303578
Colombia,COL,1992,1.825379
Colombia,COL,1993,2.235886
Colombia,COL,1994,2.524805
Colombia,COL,1995,2.476168
Colombia,COL,1996,2.680954
Colombia,COL,1997,2.353261
Colombia,COL,1998,2.267296
Colombia,COL,1999,2.432946
Colombia,COL,2000,2.194856
Colombia,COL,2001,2.202757
Colombia,COL,2002,2.31186
Colombia,COL,2003,2.408723
Colombia,COL,2004,2.49991
Colombia,COL,2005,2.509353
Colombia,COL,2006,2.671005
Colombia,COL,2007,2.722794
Colombia,COL,2008,2.790016
Colombia,COL,2009,2.460407
Colombia,COL,2010,2.411071
Colombia,COL,2011,2.836884
Colombia,COL,2012,2.75359
Colombia,COL,2013,2.52843
Colombia,COL,2014,2.530181
Colombia,COL,2015,2.488157
Colombia,COL,2016,2.557325
Colombia,COL,2017,3.040812
Colombia,COL,2018,2.952289
Colombia,COL,2019,2.653083
Croatia,HRV,1990,2.213035
Croatia,HRV,1991,3.431959
Croatia,HRV,1992,2.555933
Croatia,HRV,1993,2.701506
Croatia,HRV,1994,3.244719
Croatia,HRV,1995,3.422138
Croatia,HRV,1996,4.78021
Croatia,HRV,1997,3.588681
Croatia,HRV,1998,3.726999
Croatia,HRV,1999,4.56875
Croatia,HRV,2000,4.048734
Croatia,HRV,2001,4.495851
Croatia,HRV,2002,3.649472
Croatia,HRV,2003,3.387916
Croatia,HRV,2004,4.713183
Croatia,HRV,2005,4.337716
Croatia,HRV,2006,4.06478
Croatia,HRV,2007,2.887654
Croatia,HRV,2008,3.542716
Croatia,HRV,2009,4.525341
Croatia,HRV,2010,5.601505
Croatia,HRV,2011,3.177905
Croatia,HRV,2012,3.154946
Croatia,HRV,2013,5.552258
Croatia,HRV,2014,5.941916
Croatia,HRV,2015,4.488194
Croatia,HRV,2016,4.997326
Croatia,HRV,2017,4.252753
Croatia,HRV,2018,5.849439
Croatia,HRV,2019,4.92561
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,0.002024
Cyprus,CYP,2005,0.00241
Cyprus,CYP,2006,0.003864
Cyprus,CYP,2007,0.00871
Cyprus,CYP,2008,0.037464
Cyprus,CYP,2009,0.074919
Cyprus,CYP,2010,0.171013
Cyprus,CYP,2011,0.410027
Cyprus,CYP,2012,0.583234
Cyprus,CYP,2013,0.731818
